T001;TP001;TP045
T002;TP001;TP045
T003;TP001;TP045
T004;TP002;TP045
T005;TP003;TP014
T006;TP003;TP024
T007;TP003;TP036
T008;TP004;TP045
T009;TP040;TP005
T010;TP005;TP008
T011;TP005;TP008
T012;TP005;TP021
T013;TP005;TP038
T014;TP005;TP040
T015;TP005;TP053
T016;TP006;TP045
T017;TP006;TP045
T018;TP006;TP045
T019;TP007;TP014
T020;TP007;TP036
T021;TP008;TP005
T022;TP008;TP005
T023;TP008;TP010
T024;TP008;TP010
T025;TP008;TP012
T026;TP008;TP045
T027;TP008;TP045
T028;TP009;TP014
T029;TP009;TP045
T030;TP010;TP008
T031;TP010;TP008
T032;TP010;TP012
T033;TP010;TP013
T034;TP010;TP023
T035;TP010;TP027
T036;TP010;TP038
T037;TP010;TP045
T038;TP010;TP045
T039;TP010;TP054
T040;TP011;TP045
T041;TP012;TP008
T042;TP012;TP010
T043;TP012;TP045
T044;TP013;TP010
T045;TP013;TP014
T046;TP013;TP024
T047;TP013;TP030
T048;TP013;TP035
T049;TP013;TP036
T050;TP013;TP045
T051;TP013;TP045
T052;TP013;TP045
T053;TP013;TP045
T054;TP013;TP045
T055;TP013;TP054
T056;TP014;TP003
T057;TP014;TP007
T058;TP014;TP009
T059;TP014;TP013
T060;TP014;TP017
T061;TP014;TP020
T062;TP014;TP020
T063;TP014;TP030
T064;TP014;TP030
T065;TP014;TP045
T066;TP014;TP045
T067;TP015;TP045
T068;TP016;TP045
T069;TP017;TP014
T070;TP018;TP045
T071;TP019;TP045
T072;TP020;TP014
T073;TP020;TP014
T074;TP020;TP024
T075;TP020;TP028
T076;TP021;TP005
T077;TP021;TP038
T078;TP021;TP045
T079;TP022;TP045
T080;TP023;TP010
T081;TP023;TP045
T082;TP024;TP003
T083;TP024;TP013
T084;TP024;TP020
T085;TP024;TP045
T086;TP024;TP045
T087;TP025;TP045
T088;TP026;TP045
T089;TP026;TP045
T090;TP027;TP010
T091;TP027;TP045
T092;TP028;TP020
T093;TP029;TP045
T094;TP030;TP006
T095;TP030;TP013
T096;TP030;TP014
T097;TP030;TP014
T098;TP030;TP045
T099;TP030;TP045
T100;TP030;TP045
T101;TP031;TP045
T102;TP031;TP045
T103;TP031;TP045
T104;TP032;TP045
T105;TP033;TP045
T106;TP034;TP045
T107;TP035;TP013
T108;TP035;TP045
T109;TP035;TP045
T110;TP036;TP045
T111;TP036;TP003
T112;TP036;TP045
T113;TP036;TP007
T114;TP036;TP013
T115;TP036;TP045
T116;TP037;TP045
T117;TP037;TP045
T118;TP038;TP045
T119;TP038;TP005
T120;TP038;TP010
T121;TP038;TP021
T122;TP039;TP045
T123;TP040;TP045
T124;TP041;TP045
T125;TP041;TP045
T126;TP041;TP045
T127;TP041;TP045
T128;TP041;TP045
T129;TP042;TP045
T130;TP042;TP045
T131;TP043;TP045
T132;TP044;TP045
T133;TP045;TP001
T134;TP045;TP001
T135;TP045;TP008
T136;TP045;TP010
T137;TP045;TP013
T138;TP045;TP013
T139;TP045;TP014
T140;TP045;TP015
T141;TP045;TP018
T142;TP045;TP024
T143;TP045;TP024
T144;TP045;TP026
T145;TP045;TP029
T146;TP045;TP030
T147;TP045;TP031
T148;TP045;TP031
T149;TP045;TP032
T150;TP045;TP034
T151;TP045;TP035
T152;TP045;TP036
T153;TP045;TP037
T154;TP045;TP041
T155;TP045;TP041
T156;TP045;TP041
T157;TP045;TP041
T158;TP045;TP041
T159;TP045;TP046
T160;TP045;TP049
T161;TP045;TP051
T162;TP045;TP052
T163;TP045;TP054
T164;TP045;TP001
T165;TP045;TP002
T166;TP045;TP004
T167;TP045;TP006
T168;TP045;TP006
T169;TP045;TP006
T170;TP045;TP008
T171;TP045;TP009
T172;TP045;TP010
T173;TP045;TP011
T174;TP045;TP012
T175;TP045;TP013
T176;TP045;TP013
T177;TP045;TP013
T178;TP045;TP014
T179;TP045;TP016
T180;TP045;TP019
T181;TP045;TP021
T182;TP045;TP022
T183;TP045;TP023
T184;TP045;TP024
T185;TP045;TP025
T186;TP045;TP026
T187;TP045;TP027
T188;TP045;TP030
T189;TP045;TP030
T190;TP045;TP031
T191;TP045;TP033
T192;TP045;TP035
T193;TP045;TP036
T194;TP045;TP037
T195;TP045;TP038
T196;TP045;TP039
T197;TP045;TP040
T198;TP045;TP042
T199;TP045;TP042
T200;TP045;TP043
T201;TP045;TP044
T202;TP045;TP047
T203;TP045;TP048
T204;TP045;TP049
T205;TP045;TP050
T206;TP045;TP054
T207;TP046;TP045
T208;TP047;TP045
T209;TP048;TP045
T210;TP049;TP045
T211;TP049;TP045
T212;TP050;TP045
T213;TP051;TP045
T214;TP052;TP045
T215;TP053;TP005
T216;TP054;TP010
T217;TP054;TP013
T218;TP054;TP045
T219;TP054;TP045
